mu10,mu01,p,theta,sources,k,opt_set,opt,avg,worst,greedy_set,greedy_score,closeness_set,closeness_score
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]",2,"Set([104, 1220])",0.0437825988433278,0.03449004286592049,0.02809976353956878,"Set([104, 1220])",0.0437825988433278,"Set([1220, 3050])",0.04138010586894081
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]",3,"Set([2836, 1220, 3050])",0.1251255180146561,0.09690058611636014,0.08152138347837123,"Set([3159, 104, 1220])",0.11921604609063041,"Set([3159, 1220, 3050])",0.12485443897057291
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]",4,"Set([3159, 2836, 1220, 3050])",0.28405200075867687,0.21872921765708445,0.18026284526316705,"Set([3159, 104, 1220, 3050])",0.2729931034348523,"Set([3159, 2836, 1220, 3050])",0.28405200075867687
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]",5,"Set([3159, 2836, 104, 1220, 3050])",0.46322238791650916,0.3958624791003034,0.35101081330081585,"Set([3159, 2836, 104, 1220, 3050])",0.46322238791650916,"Set([3159, 2836, 104, 1220, 3050])",0.46322238791650916
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]",6,"Set([3050, 3159, 2836, 104, 1220, 3762])",0.6097933059304381,0.5866672058182422,0.5570595362277797,"Set([3762, 3159, 2836, 104, 1220, 3050])",0.6097933059304381,"Set([3159, 2836, 3916, 104, 1220, 3050])",0.6091103857919391
0.17327064600660763,0.17104082976144988,0.9218954324390622,0.5371423048476481,"[2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868, 787]",2,"Set([1539, 1362])",0.11521057084409825,0.0778710190252685,0.03884652889095341,"Set([1539, 1362])",0.11521057084409825,"Set([1539, 1362])",0.11521057084409825
0.17327064600660763,0.17104082976144988,0.9218954324390622,0.5371423048476481,"[2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868, 787]",3,"Set([1539, 1034, 1362])",0.1707384652843239,0.11913631876726218,0.06781418403267714,"Set([1539, 1034, 1362])",0.1707384652843239,"Set([1539, 1034, 1362])",0.1707384652843239
0.17327064600660763,0.17104082976144988,0.9218954324390622,0.5371423048476481,"[2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868, 787]",4,"Set([1539, 3058, 1034, 1362])",0.21567536092541723,0.16149562818064223,0.10753895081065779,"Set([1539, 3058, 1034, 1362])",0.21567536092541723,"Set([1539, 3058, 1034, 1362])",0.21567536092541723
0.17327064600660763,0.17104082976144988,0.9218954324390622,0.5371423048476481,"[2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868, 787]",5,"Set([1539, 2202, 1034, 3058, 1362])",0.26104613403496846,0.20433767983378906,0.15185960422173128,"Set([1539, 3058, 1034, 2202, 1362])",0.26104613403496846,"Set([1539, 3058, 1034, 2202, 1362])",0.26104613403496846
0.17327064600660763,0.17104082976144988,0.9218954324390622,0.5371423048476481,"[2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868, 787]",6,"Set([2501, 1539, 2202, 1034, 3058, 1362])",0.3016798789739501,0.24734374840744425,0.19605422633050396,"Set([2501, 1539, 3058, 1034, 2202, 1362])",0.3016798789739501,"Set([2501, 1539, 3058, 1034, 2202, 1362])",0.3016798789739501
0.17327064600660763,0.17104082976144988,0.9218954324390622,0.5371423048476481,"[2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868, 787]",7,"Set([2501, 1539, 2202, 1034, 3058, 1362, 3868])",0.331313312506318,0.28991779696836945,0.24995678429077434,"Set([2501, 1539, 3058, 1034, 2202, 1362, 3868])",0.331313312506318,"Set([2501, 1539, 3058, 1034, 2202, 1362, 3868])",0.331313312506318
0.17327064600660763,0.17104082976144988,0.9218954324390622,0.5371423048476481,"[2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868, 787]",8,"Set([2501, 3603, 1539, 2202, 1034, 3058, 1362, 3868])",0.35992965546244066,0.33184189034389044,0.30865704760054014,"Set([2501, 1539, 3603, 3058, 1034, 2202, 1362, 3868])",0.35992965546244066,"Set([2501, 1539, 3603, 3058, 1034, 2202, 1362, 3868])",0.35992965546244066
